Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price(€),Extended Price(€),Product Link
1,C2988369,GT-USB-7010ASV,G-Switch,SMD,Kinect_lite_14,"USB 2.0 3A 1 Surface Mount, Right Angle 16P Female -40℃~+85℃ Type-C SMD USB Connectors ROHS",yes,20,5,5,0.0709,1.42,https://www.lcsc.com/product-detail/C2988369.html
2,C780769,AP63203WU-7,DIODES,TSOT-23-6,Kinect_lite_9,Buck Fixed 2A 3.3V 3.8V~32V TSOT-23-6 DC-DC Converters ROHS,yes,10,1,1,0.2516,2.52,https://www.lcsc.com/product-detail/C780769.html
3,C2071285,LM3670MFX-1.8/NOPB,TI,SOT-23-5,Kinect_lite_8,Buck Fixed 2.5V~5.5V 1.8V 350mA SOT-23-5 DC-DC Converters ROHS,yes,10,1,1,0.6577,6.58,https://www.lcsc.com/product-detail/C2071285.html
4,C82314,LQM2HPN4R7MG0L,muRata,1008,Kinect_lite_6,1.1A 4.7uH ±20% 138mΩ 1008 Inductors (SMD) ROHS,yes,20,10,10,0.0604,1.21,https://www.lcsc.com/product-detail/C82314.html
5,C5199159,LESD5D5.0CT1G-ES,ElecSuper,SOD-523,Kinect_lite_7,8A 80W 10V 5.8V Bidirectional 5V SOD-523 ESD and Surge Protection (TVS/ESD) ROHS,yes,20,20,20,0.0139,0.28,https://www.lcsc.com/product-detail/C5199159.html
6,C5277086,RH-5000,ronghe,-,Kinect_lite_12,Test Points / Test Rings ROHS,yes,20,5,5,0.0652,1.30,https://www.lcsc.com/product-detail/C5277086.html
7,C5199801,RH-5001,ronghe,-,Kinect_lite_13,Test Points / Test Rings ROHS,yes,20,5,5,0.0660,1.32,https://www.lcsc.com/product-detail/C5199801.html
8,C5199802,RH-5002,ronghe,-,Kinect_lite_10,Test Points / Test Rings ROHS,yes,10,5,5,0.0632,0.63,https://www.lcsc.com/product-detail/C5199802.html
9,C5199806,RH-5116,ronghe,-,Kinect_lite_11,Test Points / Test Rings ROHS,yes,10,5,5,0.0699,0.70,https://www.lcsc.com/product-detail/C5199806.html
10,C5199804,RH-5004,ronghe,-,Kinect_lite_10b,Test Points / Test Rings ROHS,yes,10,5,5,0.0726,0.73,https://www.lcsc.com/product-detail/C5199804.html
11,C5199803,RH-5003,ronghe,-,Kinect_lite_11b,Test Points / Test Rings ROHS,yes,10,5,5,0.0719,0.72,https://www.lcsc.com/product-detail/C5199803.html
12,C5199809,RH-5119,ronghe,-,Kinect_lite_10c,Test Points / Test Rings ROHS,yes,10,5,5,0.0701,0.70,https://www.lcsc.com/product-detail/C5199809.html
13,C22438131,HX PM1.27-2x7P ZC,hanxia,"Through Hole,P=1.27mm",Kinect_lite_15,"1.27mm 1.27mm 2 1A Gold Phosphor Bronze 14P -40℃~+105℃ Through Hole 2x7P 4.3mm Top Square Hole Through Hole,P=1.27mm Female Headers ROHS",yes,10,5,5,0.1478,1.48,https://www.lcsc.com/product-detail/C22438131.html
14,C22438129,HX PM1.27-2x5P ZC,hanxia,"Through Hole,P=1.27mm",Kinect_lite_15b,"1.27mm 1.27mm 2 1A Gold Phosphor Bronze -40℃~+105℃ 10P Through Hole 2x5P 4.3mm Top Square Hole Through Hole,P=1.27mm Female Headers ROHS",yes,10,5,5,0.1223,1.22,https://www.lcsc.com/product-detail/C22438129.html
